eval_prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.1631811	-100	-0.90341234	-100	-0.48059142	-100	-0.18790874	-100	-0.48864707	-100	-0.2550561	-100.0	-0.17755587	-100	-0.47315076	-100	-0.3394463	-100	-0.1443372	-100.0	-0.43839395	-100.0	-0.107486434	-100.0	-0.29897675	-100.0	-0.77037877	-100	-0.14793068	-100	-0.292183	-100	-0.15979545	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.1155554	-100	-0.27714002	-100	-0.12125855	-100	-0.18388174	-100	-0.26471907	-100	-0.15685242	-100.0	-0.13969542	-100	-0.18096928	-100	-0.25020918	-100	-0.3526525	-100.0	-0.2626718	-100.0	-0.14124696	-100.0	-0.2388278	-100.0	-0.5035206	-100	-0.09856868	-100	-0.14215913	-100	-0.4026142	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.101614274	-100	-0.2194819	-100	-0.15493351	-100	-0.24580444	-100	-0.17654632	-100	-0.25914803	-100.0	-0.12975597	-100	-0.25734434	-100	-0.23893769	-100	-0.20709655	-100.0	-0.43400317	-100.0	-0.13723154	-100.0	-0.15931548	-100.0	-0.18040872	-100	-0.14143726	-100	-0.14766589	-100	-0.18868221	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.09525805	-100	-0.20759612	-100	-0.1478018	-100	-0.17347541	-100	-0.26223204	-100	-0.16105366	-100.0	-0.11731545	-100	-0.12595396	-100	-0.37587515	-100	-0.1649894	-100.0	-0.2638436	-100.0	-0.11285689	-100.0	-0.11241325	-100.0	-0.1578852	-100	-0.16867891	-100	-0.10041277	-100	-0.16805533	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.21297133	-100	-0.20689194	-100	-0.18492812	-100	-0.2170643	-100	-0.26469678	-100	-0.2759959	-100.0	-0.20755167	-100	-0.21952976	-100	-0.35013008	-100	-0.12766504	-100.0	-0.22001414	-100.0	-0.14460593	-100.0	-0.16337998	-100.0	-0.1970427	-100	-0.14717789	-100	-0.30191743	-100	-0.15962811	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.15756856	-100	-0.1722964	-100	-0.1474449	-100	-0.16079713	-100	-0.22692968	-100	-0.20309547	-100.0	-0.18407004	-100	-0.18542163	-100	-0.13290139	-100	-0.18248816	-100.0	-0.19517237	-100.0	-0.14289789	-100.0	-0.18378876	-100.0	-0.2691123	-100	-0.2110883	-100	-0.25389618	-100	-0.19167967	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.15199888	-100	-0.34886673	-100	-0.25233898	-100	-0.19079685	-100	-0.16689563	-100	-0.6812162	-100.0	-0.12730747	-100	-0.21492833	-100	-0.36634767	-100	-0.123374104	-100.0	-0.4099978	-100.0	-0.13635083	-100.0	-0.12675148	-100.0	-0.18093877	-100	-0.1629657	-100	-0.15869986	-100	-0.08815815	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.18434499	-100	-0.34997338	-100	-0.53790635	-100	-0.100280784	-100	-0.20219135	-100	-0.3954329	-100.0	-0.26352316	-100	-0.6309978	-100	-0.30299369	-100	-0.27662498	-100.0	-0.32454538	-100.0	-0.21371539	-100.0	-0.22846258	-100.0	-0.10827451	-100	-0.19796088	-100	-0.35572252	-100	-0.2097684	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.117891684	-100	-0.33835945	-100	-0.26747426	-100	-0.22116698	-100	-0.2008678	-100	-0.35487923	-100.0	-0.6736594	-100	-0.2579279	-100	-0.28821778	-100	-0.26001918	-100.0	-0.7573355	-100.0	-0.14310989	-100.0	-0.17658338	-100.0	-0.484339	-100	-0.10973654	-100	-0.13078782	-100	-0.21546215	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.118427806	-100	-0.23198588	-100	-0.38304228	-100	-0.4948088	-100	-0.4211626	-100	-0.30617628	-100.0	-0.28159487	-100	-0.46500117	-100	-0.14438748	-100	-0.1798374	-100.0	-0.73860353	-100.0	-0.3034446	-100.0	-0.19574787	-100.0	-0.4255801	-100	-0.14795424	-100	-0.123610675	-100	-0.13499202	-100
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.17412214	-100	-0.55092996	-100	-0.14247291	-100	-0.18416977	-100	-0.16889279	-100	-100.0	-0.8796004	-0.32031086	-100	-0.23136497	-100	-0.19728357	-100	-0.2929918	-100.0	-0.42962426	-100.0	-0.24888958	-100.0	-0.23497449	-100.0	-0.3023842	-100	-0.2816802	-100	-0.25983715	-100	-0.24634477	-100
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.25789973	-100	-0.22966476	-100	-0.12057399	-100	-0.15500951	-100	-0.110842794	-100	-0.22685327	-100.0	-0.1707768	-100	-0.17320117	-100	-0.18135136	-100	-0.20302907	-100.0	-0.8040085	-100.0	-0.20325153	-100.0	-0.19737294	-100.0	-0.1807126	-100	-0.22249828	-100	-0.38492218	-100	-0.1690441	-100
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-0.27580348	-100	-0.5332822	-100	-0.23824726	-100	-0.2691819	-100	-0.1873806	-100	-0.8813635	-100.0	-0.2534669	-100	-0.5421406	-100	-0.29249382	-100	-100.0	-0.4082666	-0.31135207	-100.0	-100.0	-0.800111	-0.2582865	-100.0	-0.29548758	-100	-0.35433167	-100	-0.195068	-100	-0.17515332	-100
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-0.22677481	-100	-0.2382332	-100	-0.50967294	-100	-0.19074953	-100	-0.18924397	-100	-100.0	-0.6683802	-0.3098675	-100	-0.34102	-100	-0.69578767	-100	-0.5871228	-100.0	-0.35972607	-100.0	-0.18103057	-100.0	-100.0	-0.7040581	-0.20736781	-100	-0.10860547	-100	-0.2226712	-100	-0.17315999	-100
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.17092642	-100	-0.18183987	-100	-0.12550339	-100	-0.14865172	-100	-0.17592882	-100	-0.45887434	-100.0	-0.0965603	-100	-0.35918233	-100	-0.13468112	-100	-0.3806039	-100.0	-0.17383054	-100.0	-0.14977942	-100.0	-0.2078091	-100.0	-0.1509138	-100	-0.13362947	-100	-0.13050853	-100	-0.2059727	-100
Hello, I want you to behave as my fun and engaging teacher and teach me different aspects of the negative sides of social media. Ask questions about different aspects and wait for my answer. Keep doing it until all the aspects are covered one by one.	-0.10341512	-100	-0.17887695	-100	-0.2551794	-100	-0.16467375	-100	-0.23211321	-100	-0.17072909	-100.0	-0.14232083	-100	-0.16065353	-100	-0.14336652	-100	-0.30595848	-100.0	-0.3709235	-100.0	-0.112112366	-100.0	-0.10122328	-100.0	-0.18460713	-100	-0.08817468	-100	-0.07394751	-100	-0.12805589	-100
Hello, I want you to behave as my fun and engaging teacher and  teach me different aspects about the negative sides of social media.* Ask questions about different aspects and give me feedback about my answer's competence. Keep doing it until all the aspects are covered one by one	-0.15574884	-100	-0.26924765	-100	-0.2179953	-100	-0.36243722	-100	-0.19403172	-100	-0.1519943	-100.0	-0.26839083	-100	-0.14962117	-100	-0.18637036	-100	-0.2472939	-100.0	-0.19117548	-100.0	-0.16572405	-100.0	-0.16892941	-100.0	-0.14905831	-100	-0.10809254	-100	-0.27620503	-100	-0.10057675	-100
address me as 'Dear' act as: teacher with a sense of humor explain one aspect of how social media algorithms work ask me one short question to assess my learning wait for my answer give feedback about my answer later explain the next point about how social media algorithms work follow this loop until you explain all the aspects	-0.55002207	-100	-0.35145563	-100	-0.3321148	-100	-0.24469653	-100	-0.43023142	-100	-0.1535413	-100.0	-0.21483862	-100	-0.44161204	-100	-0.3781815	-100	-0.22260267	-100.0	-0.18953702	-100.0	-0.17348938	-100.0	-0.15540344	-100.0	-0.17107472	-100	-0.20687596	-100	-0.26158315	-100	-0.2082627	-100
act as: a fun teacher  explain one aspect of how social media algorithms work ask me one short question to assess my learning  later explain the next point about how social media algorithms work  follow this loop until you explain all the aspects 	-0.1530228	-100	-0.4098147	-100	-0.19338016	-100	-0.4082736	-100	-0.31914222	-100	-0.42208698	-100.0	-0.20722677	-100	-0.4747775	-100	-0.265118	-100	-0.33581156	-100.0	-0.24190587	-100.0	-0.19408613	-100.0	-0.30134925	-100.0	-0.32821494	-100	-0.21894334	-100	-0.15566087	-100	-0.24985604	-100
Please explain one aspect of democracy and then ask a question to confirm my comprehension in a back-and-forth conversation. Dont stop until all various aspects are discussed	-0.29420304	-100	-0.3563638	-100	-0.41214222	-100	-0.3328793	-100	-0.25915453	-100	-0.68784654	-100.0	-0.6635841	-100	-0.6129031	-100	-0.28745705	-100	-100.0	-0.6445971	-100.0	-0.4032698	-0.16881785	-100.0	-0.34256354	-100.0	-0.76126033	-100	-0.3337788	-100	-0.20872548	-100	-0.332213	-100
