prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.3437869	-100.0	-0.43713826	-100.0	-0.64294523	-100.0	-0.6773079	-100.0	-100.0	-0.89761746	-100.0	-1.1320099	-0.3329959	-100.0	-0.5728942	-100.0	-0.6120404	-100.0	-0.3935034	-100.0	-100.0	-0.4124567	-0.8523267	-100.0	-0.7320799	-100.0	-0.65667903	-100.0	-0.2843059	-100.0	-0.32850218	-100.0	-0.65842456	-100.0
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.27441484	-100.0	-0.7837411	-100.0	-0.24103928	-100.0	-0.49542654	-100.0	-100.0	-0.5580255	-0.4220746	-100.0	-0.32618415	-100.0	-100.0	-1.0085735	-100.0	-0.7926603	-0.2821524	-100.0	-0.39642295	-100.0	-0.3753945	-100.0	-0.5369622	-100.0	-0.5548266	-100.0	-0.50230145	-100.0	-0.39488894	-100.0	-0.40725446	-100.0
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.17244059	-100.0	-0.8502744	-100.0	-0.40942028	-100.0	-0.28319645	-100.0	-0.25342098	-100.0	-0.38492396	-100.0	-0.41371596	-100.0	-0.27937055	-100.0	-0.61030984	-100.0	-0.23150523	-100.0	-100.0	-0.7961605	-0.1634873	-100.0	-0.5065608	-100.0	-0.41804755	-100.0	-0.16624549	-100.0	-0.74616116	-100.0	-100.0	-0.6627721
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.199645	-100.0	-0.41943738	-100.0	-0.27915037	-100.0	-0.28093562	-100.0	-0.2692204	-100.0	-0.492278	-100.0	-0.15929024	-100.0	-0.26324648	-100.0	-0.19143198	-100.0	-0.17167458	-100.0	-0.32863894	-100.0	-0.2528713	-100.0	-0.4350098	-100.0	-0.3140257	-100.0	-0.09939446	-100.0	-0.17866223	-100.0	-0.3027321	-100.0
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.26202798	-100.0	-0.33753985	-100.0	-0.25912866	-100.0	-0.16041152	-100.0	-0.22942272	-100.0	-0.23658107	-100.0	-0.21769524	-100.0	-0.1556725	-100.0	-0.5573597	-100.0	-0.28780025	-100.0	-0.30552286	-100.0	-0.23438509	-100.0	-0.25920606	-100.0	-0.4855844	-100.0	-0.47427452	-100.0	-0.49008814	-100.0	-0.50057477	-100.0
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.16770472	-100.0	-0.2772359	-100.0	-0.25003198	-100.0	-0.21851438	-100.0	-0.8442061	-100.0	-0.88404876	-100.0	-0.17901218	-100.0	-0.5354695	-100.0	-0.23245841	-100.0	-0.30268642	-100.0	-0.18230331	-100.0	-0.16297285	-100.0	-0.51798517	-100.0	-0.27069175	-100.0	-0.17819227	-100.0	-0.19576795	-100.0	-0.21677166	-100.0
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.2467667	-100.0	-0.5173429	-100.0	-0.21027762	-100.0	-0.1777429	-100.0	-0.2536889	-100.0	-0.4642092	-100.0	-0.17491822	-100.0	-0.2159387	-100.0	-0.2150349	-100.0	-0.15423796	-100.0	-0.57731247	-100.0	-0.14711864	-100.0	-0.53305376	-100.0	-0.2975256	-100.0	-0.1532059	-100.0	-0.38516396	-100.0	-0.1873189	-100.0
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.3417645	-100.0	-0.38983622	-100.0	-0.43700084	-100.0	-0.31078568	-100.0	-0.53824633	-100.0	-0.4326767	-100.0	-0.13137975	-100.0	-0.36497322	-100.0	-100.0	-0.57717055	-0.40948346	-100.0	-0.567409	-100.0	-0.24287976	-100.0	-0.20143501	-100.0	-0.56245047	-100.0	-0.20294379	-100.0	-0.56228286	-100.0	-0.38825414	-100.0
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.23559779	-100.0	-0.14358076	-100.0	-0.20690703	-100.0	-0.24648508	-100.0	-100.0	-0.44317383	-100.0	-0.7734749	-0.19455059	-100.0	-0.18416785	-100.0	-0.512021	-100.0	-100.0	-0.7172014	-0.28871283	-100.0	-0.22469921	-100.0	-0.408767	-100.0	-0.18960005	-100.0	-0.22103812	-100.0	-0.17148021	-100.0	-0.40170178	-100.0
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.61862457	-100.0	-0.80894244	-100.0	-0.59659296	-100.0	-100.0	-0.44248638	-100.0	-0.2316186	-100.0	-0.35997805	-100.0	-0.65915215	-100.0	-0.71200716	-0.37301072	-100.0	-0.6807463	-100.0	-0.7242275	-100.0	-100.0	-0.5289442	-100.0	-0.37015826	-100.0	-0.31393462	-100.0	-0.73114306	-100.0	-0.69106746	-100.0	-0.39531636
