prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.1687806	-100	-0.45481244	-100	-0.29315704	-100.0	-100.0	-0.74131405	-0.28926215	-100.0	-0.339356	-100.0	-0.14674583	-100.0	-0.26197886	-100	-0.26679963	-100	-0.1691067	-100	-0.4006117	-100.0	-0.2155225	-100	-0.5789375	-100.0	-100.0	-0.6579833	-0.15603451	-100	-0.15189299	-100	-0.32583404	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.103943855	-100	-0.3088547	-100	-0.14704587	-100.0	-0.4556197	-100.0	-0.1694662	-100.0	-0.31366184	-100.0	-0.10766557	-100.0	-0.20055628	-100	-0.5053641	-100	-0.13992232	-100	-0.49843928	-100.0	-0.16745128	-100	-0.18100163	-100.0	-0.31723276	-100.0	-0.09391998	-100	-0.3210169	-100	-1.101143	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.14910412	-100	-0.2122545	-100	-0.16234994	-100.0	-0.24736151	-100.0	-0.21354048	-100.0	-0.4246179	-100.0	-0.121722415	-100.0	-0.15402164	-100	-0.2802756	-100	-0.18308939	-100	-0.28026953	-100.0	-0.17731808	-100	-0.47641513	-100.0	-0.28488055	-100.0	-0.12525637	-100	-0.20167702	-100	-0.11948967	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.126114	-100	-0.2220957	-100	-0.20817131	-100.0	-0.2680535	-100.0	-0.1424694	-100.0	-0.19589199	-100.0	-0.13511448	-100.0	-0.15761551	-100	-0.12543042	-100	-0.12652418	-100	-0.6483078	-100.0	-0.16188556	-100	-0.1361517	-100.0	-0.15961875	-100.0	-0.11933015	-100	-0.15199104	-100	-0.24368079	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.106854804	-100	-0.17969024	-100	-0.25941223	-100.0	-0.24415472	-100.0	-0.25101426	-100.0	-0.2543182	-100.0	-0.19404952	-100.0	-0.2625384	-100	-0.26482993	-100	-0.21607578	-100	-0.2355338	-100.0	-0.17340155	-100	-0.13121827	-100.0	-0.46444353	-100.0	-0.12352524	-100	-0.16710575	-100	-0.3547633	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.14981563	-100	-0.38330013	-100	-0.23886232	-100.0	-0.2698098	-100.0	-0.19864519	-100.0	-0.24810609	-100.0	-0.089146815	-100.0	-0.27712876	-100	-0.1797224	-100	-0.14741492	-100	-0.19008541	-100.0	-0.21326122	-100	-0.10106402	-100.0	-0.21760596	-100.0	-0.18713132	-100	-0.33669817	-100	-0.21978875	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.24313574	-100	-0.47889346	-100	-0.3167468	-100.0	-0.16674682	-100.0	-0.15024203	-100.0	-0.18504648	-100.0	-0.11805869	-100.0	-0.24522676	-100	-0.2064158	-100	-0.21585047	-100	-0.8029884	-100.0	-0.16129112	-100	-0.18902679	-100.0	-0.23335734	-100.0	-0.12879413	-100	-0.08267251	-100	-0.7094731	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.30623984	-100	-0.16046877	-100	-0.34544104	-100.0	-0.31687036	-100.0	-0.42480546	-100.0	-0.3111388	-100.0	-0.35313532	-100.0	-0.5165301	-100	-0.41302422	-100	-0.48285308	-100	-0.4928014	-100.0	-0.2061074	-100	-0.20442009	-100.0	-0.33033746	-100.0	-0.15758614	-100	-0.46157464	-100	-0.3643606	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.27706572	-100	-0.39831036	-100	-0.32045808	-100.0	-0.2654687	-100.0	-0.6179877	-100.0	-100.0	-0.602253	-0.28973848	-100.0	-0.42786527	-100	-0.19712806	-100	-0.1757364	-100	-100.0	-0.5441697	-0.56782264	-100	-0.58734596	-100.0	-0.11972325	-100.0	-0.14682604	-100	-0.13264313	-100	-0.230981	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.27073452	-100	-0.32499957	-100	-0.34589255	-100.0	-100.0	-0.41846395	-100.0	-0.60077494	-0.7981133	-100.0	-0.15954588	-100.0	-0.8314375	-100	-0.60721236	-100	-0.22834522	-100	-0.7773728	-100.0	-0.36234036	-100	-0.32721663	-100.0	-0.3768611	-100.0	-0.23544127	-100	-0.33515358	-100	-0.19785047	-100
