feature_name	prompt	Y	N	gt
Topic - concise(1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.2180604	-100	1
Topic - broken down (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.7690376	-100	0
1 Goal (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.6078049	-100	1
2 Goals (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.3174078	-100	0
>2 Goals (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.25233746	-100	0
AI role play (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.29664075	-100	1
Role form/context(1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.24859722	-100	1
Meta Process-related (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.41381738	-100	0
Simple sentence structure (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.45860964	-100	0
Complex sentence structure (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.23779406	-100	1
ActAsPersona- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.36540475	-100	0
ProvideOutPuts- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.40011865	-100	1
PatternOrder- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.21988899	-100	0
StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.82002527	-100	0
Feature 1: AskMeQuestions-FlippedPattern	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.5290187	-100	0
Feature 2: ConditionStop-FlippedPattern	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.4649019	-100	0
Feature 3: Form-FlippedPattern:	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.8030375	-100	0
Topic - concise(1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.14131719	-100	1
Topic - broken down (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.5461612	-100	0
1 Goal (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.42469573	-100	1
2 Goals (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-100	-0.80968726	0
>2 Goals (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.27951086	-100	0
AI role play (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.21412134	-100	1
Role form/context(1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.3601497	-100	1
Meta Process-related (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.55569947	-100	0
Simple sentence structure (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.553023	-100	0
Complex sentence structure (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.7445374	-100	1
ActAsPersona- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.58067375	-100	0
ProvideOutPuts- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.2229256	-100	1
PatternOrder- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.54924613	-100	0
StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.6034326	-100	0
Feature 1: AskMeQuestions-FlippedPattern	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.60226184	-100	0
Feature 2: ConditionStop-FlippedPattern	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.5087312	-100	0
Feature 3: Form-FlippedPattern:	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.4102102	-100	0
