prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.13711949	-100.0	-0.56055075	-100.0	-0.37906417	-100.0	-0.21849057	-100.0	-100.0	-0.52794814	-0.1821512	-100.0	-0.43258476	-100.0	-0.7012915	-100.0	-100.0	-0.7114225	-0.20783596	-100.0	-0.23376524	-100.0	-0.26820305	-100.0	-0.30189535	-100.0	-100.0	-0.46048245	-0.8411802	-100.0	-0.2932935	-100	-100.0	-0.64311254
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.41495574	-100.0	-0.8274889	-100.0	-0.31821167	-100.0	-0.67243177	-100.0	-0.667386	-100.0	-0.19659764	-100.0	-0.33979955	-100.0	-100.0	-0.6546784	-0.5590548	-100.0	-0.24256735	-100.0	-100.0	-0.9323731	-0.52107	-100.0	-100.0	-0.7338349	-0.5029348	-100.0	-0.15390928	-100.0	-0.50433385	-100	-0.50200444	-100.0
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.40002802	-100.0	-0.5344194	-100.0	-0.2265567	-100.0	-0.5042469	-100.0	-0.25259832	-100.0	-0.9013961	-100.0	-0.28778133	-100.0	-0.7265484	-100.0	-0.25493988	-100.0	-0.15968937	-100.0	-0.64048994	-100.0	-0.12545203	-100.0	-0.47348076	-100.0	-0.551303	-100.0	-0.3769551	-100.0	-0.44258854	-100	-0.81647944	-100.0
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.23157737	-100.0	-100.0	-0.7377312	-0.3929652	-100.0	-0.19883016	-100.0	-100.0	-0.7079452	-100.0	-0.5521576	-0.16196643	-100.0	-0.1448442	-100.0	-0.21918775	-100.0	-0.17149916	-100.0	-0.49888226	-100.0	-0.14581347	-100.0	-0.3899792	-100.0	-0.57655096	-100.0	-0.15435216	-100.0	-0.14407414	-100	-0.21943808	-100.0
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.23995095	-100.0	-0.28664646	-100.0	-0.27654544	-100.0	-0.29826018	-100.0	-0.5958363	-100.0	-0.19540368	-100.0	-0.2198965	-100.0	-0.22705331	-100.0	-0.36722177	-100.0	-0.15874709	-100.0	-0.57630855	-100.0	-0.21601327	-100.0	-0.3782643	-100.0	-0.21315758	-100.0	-0.16622831	-100.0	-0.34055376	-100	-0.3988108	-100.0
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.16676852	-100.0	-0.16646926	-100.0	-0.31954354	-100.0	-0.46186388	-100.0	-0.52582693	-100.0	-0.33245924	-100.0	-0.31981432	-100.0	-0.27358443	-100.0	-0.26223683	-100.0	-0.13461477	-100.0	-0.3670809	-100.0	-0.18497354	-100.0	-0.27856943	-100.0	-0.17588839	-100.0	-0.18816029	-100.0	-0.19164978	-100	-0.2827614	-100.0
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.5151878	-100.0	-0.60116524	-100.0	-0.28839567	-100.0	-0.17157048	-100.0	-0.32443175	-100.0	-0.82236046	-100.0	-0.2924722	-100.0	-0.45799047	-100.0	-0.52395296	-100.0	-0.18026288	-100.0	-0.15983398	-100.0	-0.13592042	-100.0	-0.120085716	-100.0	-0.31187773	-100.0	-0.12942581	-100.0	-0.2645274	-100	-0.5616663	-100.0
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.21247788	-100.0	-0.30246294	-100.0	-0.4008573	-100.0	-0.35513017	-100.0	-0.20040871	-100.0	-0.28260973	-100.0	-0.37821028	-100.0	-0.19778495	-100.0	-0.59479225	-100.0	-0.23493423	-100.0	-0.6254036	-100.0	-0.19711965	-100.0	-0.31958365	-100.0	-0.23151927	-100.0	-0.16698995	-100.0	-0.46764225	-100	-0.21898524	-100.0
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.3198208	-100.0	-0.69091547	-100.0	-0.20801845	-100.0	-0.20568886	-100.0	-0.24998422	-100.0	-0.37033397	-100.0	-0.29374102	-100.0	-0.55802506	-100.0	-100.0	-0.7252478	-0.12931834	-100.0	-0.50395614	-100.0	-0.36473286	-100.0	-0.5936107	-100.0	-0.17157827	-100.0	-0.15541333	-100.0	-0.34427723	-100	-0.23079638	-100.0
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.34487823	-100.0	-100.0	-0.41357028	-100.0	-0.8377878	-100.0	-0.41672096	-100.0	-0.23878972	-100.0	-0.3063148	-0.78080904	-100.0	-100.0	-0.2615003	-0.29403484	-100.0	-100.0	-0.5553135	-100.0	-0.5705405	-100.0	-0.65684927	-100.0	-0.5753446	-100.0	-0.7083713	-0.37048516	-100.0	-0.6880414	-100	-100.0	-0.4177766
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.49336937	-100.0	-0.82719266	-100.0	-0.24635316	-100.0	-0.25649357	-100.0	-0.39748856	-100.0	-0.5093641	-100.0	-0.30383325	-100.0	-0.60161585	-100.0	-0.19832228	-100.0	-0.39907622	-100.0	-0.29084376	-100.0	-0.34768984	-100.0	-0.69729674	-100.0	-0.9736552	-100.0	-0.52491367	-100.0	-0.28994957	-100	-0.6071905	-100.0
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.28181386	-100.0	-0.5035897	-100.0	-0.24226335	-100.0	-0.30005133	-100.0	-0.37052262	-100.0	-0.42023358	-100.0	-0.3032636	-100.0	-0.18474314	-100.0	-0.2939503	-100.0	-100.0	-0.34526703	-100.0	-0.6658752	-0.3697614	-100.0	-0.78788483	-100.0	-100.0	-0.5242161	-0.20107478	-100.0	-0.60966426	-100	-0.19063456	-100.0
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-0.7069786	-100.0	-100.0	-0.82084626	-0.38032016	-100.0	-0.54265225	-100.0	-0.23724307	-100.0	-100.0	-0.48028326	-0.7730927	-100.0	-0.51561975	-100.0	-0.23101188	-100.0	-0.35438994	-100.0	-0.86820054	-100.0	-0.43059176	-100.0	-0.759572	-100.0	-0.782083	-100.0	-0.15294765	-100.0	-0.27960852	-100	-100.0	-0.4725357
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-0.5683565	-100.0	-0.20820281	-100.0	-0.36948678	-100.0	-0.6123696	-100.0	-0.38783565	-100.0	-100.0	-0.8662515	-0.43832213	-100.0	-0.3888181	-100.0	-0.2996749	-100.0	-100.0	-0.72273934	-100.0	-0.36135334	-0.5817421	-100.0	-100.0	-0.33111247	-100.0	-0.5198353	-0.6340487	-100.0	-0.3131055	-100	-0.64020044	-100.0
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.2064303	-100.0	-0.28997776	-100.0	-0.25208217	-100.0	-0.21983218	-100.0	-100.0	-0.5391216	-100.0	-0.49640733	-0.17933148	-100.0	-0.15790696	-100.0	-0.17590176	-100.0	-0.11141325	-100.0	-0.28523716	-100.0	-0.20347397	-100.0	-0.20237355	-100.0	-0.72635245	-100.0	-0.16693789	-100.0	-0.20877792	-100	-0.13745014	-100.0
Hello, I want you to behave as my fun and engaging teacher and teach me different aspects of the negative sides of social media. Ask questions about different aspects and wait for my answer. Keep doing it until all the aspects are covered one by one.	-0.19683208	-100.0	-0.22836371	-100.0	-0.24212971	-100.0	-0.299373	-100.0	-0.17380975	-100.0	-0.30431592	-100.0	-0.44333807	-100.0	-0.28885603	-100.0	-0.19088355	-100.0	-0.27289468	-100.0	-0.2591966	-100.0	-0.18895535	-100.0	-0.5563471	-100.0	-0.56740713	-100.0	-0.19844824	-100.0	-0.13860361	-100	-0.59328336	-100.0
