eval_prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.1649516	-100	-0.19760025	-100.0	-100.0	-0.8378253	-0.63655436	-100.0	-0.25613135	-100.0	-0.20720837	-100.0	-0.2851354	-100.0	-0.27283943	-100	-0.38638026	-100	-0.22651505	-100.0	-0.2755131	-100	-0.29896173	-100.0	-0.25468448	-100.0	-0.3747214	-100.0	-0.28389096	-100.0	-0.33086336	-100	-0.3601469	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.11220612	-100	-0.16165559	-100.0	-0.19141546	-100.0	-0.37337404	-100.0	-100.0	-0.63638383	-0.17693675	-100.0	-0.1583781	-100.0	-0.32438675	-100	-0.1721742	-100	-0.14795037	-100.0	-0.16676253	-100	-0.22855262	-100.0	-0.28722864	-100.0	-0.28375557	-100.0	-0.18949819	-100.0	-0.2269851	-100	-0.2610376	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.16836181	-100	-0.21335085	-100.0	-0.16021723	-100.0	-0.1898661	-100.0	-0.683834	-100.0	-0.18000682	-100.0	-0.24592562	-100.0	-0.23348562	-100	-0.41003963	-100	-0.17192245	-100.0	-0.1501801	-100	-0.18211609	-100.0	-0.24699658	-100.0	-0.3504524	-100.0	-0.19782974	-100.0	-0.18268341	-100	-0.15222871	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.11889224	-100	-0.17534742	-100.0	-0.24176742	-100.0	-0.17717241	-100.0	-0.41675946	-100.0	-0.17822753	-100.0	-0.21440786	-100.0	-0.19687591	-100	-0.41951492	-100	-0.17379145	-100.0	-0.27651355	-100	-0.17836075	-100.0	-0.21807523	-100.0	-0.23447476	-100.0	-0.5264045	-100.0	-0.31851503	-100	-0.17147681	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.18412586	-100	-0.18313478	-100.0	-0.20235494	-100.0	-0.17668301	-100.0	-0.23603828	-100.0	-0.16133882	-100.0	-0.20228451	-100.0	-0.17748201	-100	-0.21295643	-100	-0.119723655	-100.0	-0.16272208	-100	-0.27476266	-100.0	-0.21992968	-100.0	-0.21875498	-100.0	-0.17783582	-100.0	-0.13844793	-100	-0.24618061	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.13979407	-100	-0.24580702	-100.0	-0.20322114	-100.0	-0.26276878	-100.0	-0.28045714	-100.0	-0.23196633	-100.0	-0.29008403	-100.0	-0.25757793	-100	-0.2728085	-100	-0.22552383	-100.0	-0.2526864	-100	-0.22260098	-100.0	-0.2455452	-100.0	-0.38741153	-100.0	-0.23211531	-100.0	-0.2345924	-100	-0.46699765	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.17058365	-100	-0.20904866	-100.0	-0.34475067	-100.0	-0.22821483	-100.0	-0.15646614	-100.0	-0.22338697	-100.0	-0.13508165	-100.0	-0.19315	-100	-0.23318349	-100	-0.18076287	-100.0	-0.1403231	-100	-0.26254386	-100.0	-0.19648111	-100.0	-0.22427979	-100.0	-0.23642674	-100.0	-0.18143667	-100	-0.3295014	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.19796385	-100	-0.19385204	-100.0	-0.32034487	-100.0	-0.2682548	-100.0	-0.17712566	-100.0	-0.22779654	-100.0	-0.2433203	-100.0	-0.32783997	-100	-0.26961738	-100	-0.17867298	-100.0	-0.33912304	-100	-0.26414442	-100.0	-0.2290261	-100.0	-0.262064	-100.0	-0.20276536	-100.0	-0.4304786	-100	-0.3501712	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.15091187	-100	-0.30555508	-100.0	-0.28238037	-100.0	-0.38307744	-100.0	-0.33254352	-100.0	-0.14239512	-100.0	-0.26213497	-100.0	-0.40190294	-100	-0.5444323	-100	-0.2756433	-100.0	-0.21122935	-100	-0.23807308	-100.0	-0.1361457	-100.0	-0.33676562	-100.0	-0.24310745	-100.0	-0.27081084	-100	-0.31966045	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.24977861	-100	-100.0	-0.55403537	-0.39693484	-100.0	-0.65650296	-100.0	-100.0	-0.3582144	-100.0	-0.3280419	-0.5240895	-100.0	-0.48850355	-100	-0.31686375	-100	-100.0	-0.707407	-0.88676333	-100	-0.5689173	-100.0	-0.40057504	-100.0	-100.0	-0.619408	-0.79637426	-100.0	-0.81929547	-100	-0.5350026	-100
