eval_prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.1571368	-100.0	-0.1771961	-100.0	-0.4081825	-100	-0.4619243	-100.0	-0.44011322	-100.0	-0.21147712	-100.0	-0.29145944	-100.0	-0.27816	-100.0	-0.44566286	-100.0	-0.30537885	-100.0	-0.40099016	-100.0	-0.2202548	-100	-0.64709294	-100.0	-0.18851295	-100.0	-0.40785983	-100.0	-100.0	-0.650958	-0.30931064	-100.0
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.19547476	-100.0	-0.33925423	-100.0	-0.2550138	-100	-0.3733287	-100.0	-0.16112275	-100.0	-0.29114372	-100.0	-0.20778693	-100.0	-0.22944483	-100.0	-0.27701616	-100.0	-0.1100232	-100.0	-0.2445688	-100.0	-0.16394632	-100	-0.33675134	-100.0	-0.30981523	-100.0	-0.37794748	-100.0	-0.32066834	-100.0	-0.31326887	-100.0
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.14084174	-100.0	-0.54745424	-100.0	-0.21220702	-100	-0.25165057	-100.0	-0.2798464	-100.0	-0.22259083	-100.0	-0.151237	-100.0	-0.20761901	-100.0	-0.18820713	-100.0	-0.21909083	-100.0	-0.24313223	-100.0	-0.19430849	-100	-0.5591434	-100.0	-0.39392075	-100.0	-0.1598423	-100.0	-100.0	-0.68846	-0.30714896	-100.0
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.16722256	-100.0	-0.24380651	-100.0	-0.32303342	-100	-0.25644413	-100.0	-0.2114822	-100.0	-0.34037086	-100.0	-0.16555503	-100.0	-0.31333873	-100.0	-0.2382089	-100.0	-0.22645953	-100.0	-0.15178783	-100.0	-0.23135804	-100	-0.18951397	-100.0	-0.38692012	-100.0	-0.3400118	-100.0	-0.30370006	-100.0	-0.2301098	-100.0
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.13369815	-100.0	-0.2111312	-100.0	-0.21319975	-100	-0.22064207	-100.0	-0.41550538	-100.0	-0.13673432	-100.0	-0.20413058	-100.0	-0.22421339	-100.0	-0.18790825	-100.0	-0.16134492	-100.0	-0.2782752	-100.0	-0.17653124	-100	-0.23875795	-100.0	-0.33526728	-100.0	-0.16564225	-100.0	-0.20162699	-100.0	-0.31793508	-100.0
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.20439795	-100.0	-0.24777348	-100.0	-0.45105964	-100	-0.26085508	-100.0	-0.16921853	-100.0	-0.2111901	-100.0	-0.15732576	-100.0	-0.27529007	-100.0	-0.19288619	-100.0	-0.21241052	-100.0	-0.24657044	-100.0	-0.27721402	-100	-0.46966937	-100.0	-0.42341527	-100.0	-0.18010336	-100.0	-0.20793884	-100.0	-0.17556301	-100.0
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.22116564	-100.0	-0.15798019	-100.0	-0.24333178	-100	-0.19503748	-100.0	-0.3929462	-100.0	-0.4005559	-100.0	-0.17368785	-100.0	-0.11053446	-100.0	-0.1679057	-100.0	-0.16723686	-100.0	-0.17095251	-100.0	-0.13771012	-100	-0.37454912	-100.0	-0.13127406	-100.0	-0.25782105	-100.0	-0.20761873	-100.0	-0.24362801	-100.0
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.15946479	-100.0	-0.1634348	-100.0	-0.20336898	-100	-0.17439267	-100.0	-0.14305618	-100.0	-0.31545055	-100.0	-0.22792134	-100.0	-0.20175533	-100.0	-0.16478598	-100.0	-0.20018508	-100.0	-0.26803005	-100.0	-0.17992425	-100	-0.22834808	-100.0	-0.17236021	-100.0	-0.18963413	-100.0	-0.23948304	-100.0	-0.21070713	-100.0
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.13845861	-100.0	-0.14709178	-100.0	-0.35023692	-100	-0.27801636	-100.0	-0.2746747	-100.0	-0.12811726	-100.0	-0.160464	-100.0	-0.13470955	-100.0	-0.3652394	-100.0	-0.16174729	-100.0	-0.17626134	-100.0	-0.22340141	-100	-0.19003943	-100.0	-0.27226013	-100.0	-0.1466323	-100.0	-0.21008237	-100.0	-0.25054252	-100.0
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.35798776	-100.0	-100.0	-0.73863524	-0.7806383	-100	-100.0	-0.40280822	-100.0	-0.27595547	-100.0	-0.8245353	-0.7021266	-100.0	-100.0	-0.8896972	-0.3043739	-100.0	-0.46720213	-100.0	-100.0	-0.31629482	-0.3334971	-100	-100.0	-0.5159032	-100.0	-0.2967073	-0.38512132	-100.0	-100.0	-0.7607436	-100.0	-0.5689893
