feature_name	prompt	Y	N	gt
Topic - concise(1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.13924652	-100	1
Topic - broken down (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.2677455	-100	0
1 Goal (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.23162079	-100	1
2 Goals (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.82390785	-100	0
>2 Goals (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.4885838	-100	0
AI role play (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.2741451	-100	1
Role form/context(1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.30771345	-100	1
Meta Process-related (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.6456347	-100	0
Simple sentence structure (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.2771727	-100	0
Complex sentence structure (1,NaN)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.22295593	-100	1
ActAsPersona- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.22992758	-100	0
ProvideOutPuts- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.3027305	-100	1
PatternOrder- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.33831722	-100	0
StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.4633509	-100	0
Feature 1: AskMeQuestions-FlippedPattern	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.49064037	-100	0
Feature 2: ConditionStop-FlippedPattern	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.51008946	-100	0
Feature 3: Form-FlippedPattern:	I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.64022	-100	0
