prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.21985765	-100	-0.6266966	-100	-0.71882576	-100	-0.7117585	-100	-100	-0.38893467	-0.27140304	-100	-0.33970034	-100	-0.37404424	-100	-0.40471	-100	-0.17040631	-100	-100	-0.58292013	-0.7125601	-100	-0.6758267	-100	-100	-0.7563491	-0.26581454	-100	-0.26761502	-100	-0.2603618	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.21284418	-100	-0.31565124	-100	-0.3672856	-100	-0.26282406	-100	-0.5351096	-100	-0.31107762	-100	-0.18779129	-100	-0.47309288	-100	-0.3969422	-100	-0.17465818	-100	-0.3042702	-100	-0.2396705	-100	-0.47637022	-100	-100	-0.6135045	-0.26525256	-100	-0.3359836	-100	-0.501897	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.19159572	-100	-0.5236045	-100	-0.22653703	-100	-0.18227121	-100	-0.3160481	-100	-0.32437214	-100	-0.32281443	-100	-0.22759895	-100	-100	-0.7851431	-0.28746197	-100	-0.28392658	-100	-0.33268234	-100	-0.23853615	-100	-0.30144757	-100	-0.21539673	-100	-0.3021797	-100	-0.6976802	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.311652	-100	-100	-0.6608147	-0.29135388	-100	-0.23657587	-100	-0.38397703	-100	-0.2714032	-100	-0.21906294	-100	-0.34750098	-100	-0.5887671	-100	-0.34708193	-100	-0.5917278	-100	-0.25616956	-100	-0.2708462	-100	-100	-0.42973498	-0.22961962	-100	-0.14368899	-100	-0.2883541	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.21265283	-100	-0.2058827	-100	-0.3025063	-100	-0.31800595	-100	-0.2427296	-100	-0.24909946	-100	-0.17947145	-100	-0.31914914	-100	-0.23905963	-100	-0.25688204	-100	-0.25050372	-100	-0.17846946	-100	-0.4345944	-100	-0.15969446	-100	-0.23465103	-100	-0.2447342	-100	-0.26886323	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.45346206	-100	-0.610712	-100	-0.18683891	-100	-0.2634797	-100	-0.47008428	-100	-0.21536368	-100	-0.19016398	-100	-0.27578196	-100	-0.24830532	-100	-0.30670425	-100	-100	-0.81889164	-0.34873927	-100	-0.26181537	-100	-0.30465192	-100	-0.19547999	-100	-0.24825092	-100	-0.20229502	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.20468308	-100	-0.2953376	-100	-0.21128316	-100	-0.16212812	-100	-0.5236725	-100	-0.23334034	-100	-0.24070628	-100	-0.15680158	-100	-0.25046596	-100	-0.14753918	-100	-100	-0.81738704	-0.16318496	-100	-0.18646424	-100	-0.39744768	-100	-0.09954847	-100	-0.5532194	-100	-0.27102453	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.24093804	-100	-0.8684124	-100	-0.22431536	-100	-0.41035232	-100	-0.3557645	-100	-0.5754372	-100	-0.31299633	-100	-0.34377235	-100	-0.6168697	-100	-0.16576375	-100	-0.84320086	-100	-0.17082877	-100	-0.3379752	-100	-0.22671695	-100	-0.7214988	-100	-100	-0.74826336	-0.7726173	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.25338703	-100	-0.3708829	-100	-0.24187876	-100	-0.21269886	-100	-0.36850768	-100	-0.40765524	-100	-0.2873486	-100	-0.3226275	-100	-0.21049242	-100	-0.21828465	-100	-100	-0.8136285	-0.16149978	-100	-0.22257231	-100	-0.6185702	-100	-0.19072999	-100	-0.27030116	-100	-0.19846256	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.3154663	-100	-100	-0.80382425	-0.8538045	-100	-100	-0.7227422	-100	-0.3063302	-100	-0.32257766	-0.25307238	-100	-100	-0.69165933	-0.36846292	-100	-100	-0.5011605	-100	-0.24617413	-100	-0.9101703	-100	-0.3236633	-100	-0.33758408	-0.77772623	-100	-0.3632542	-100	-100	-0.30528238
